#T r95_d30000_t3_64_128_256_512_1024_1280_1518
size: 64B, rate: 95%, link: 25000 Mbps, mpps: 35342262, dur: 30 sec, total: 1060267860, LossLimit: 10603 (0.001%)
TS(sec),TX(pps),RX(pps),totalTX(p),totalRX(p),Trial
1690381157,0,0,0,0,0
1690381158,13120222,13158747,13120222,13158747,0
1690381159,37393611,37393811,50513833,50552558,0
1690381160,37126246,37351151,87640079,87903709,0
1690381162,37127990,37014390,124768069,124918099,0
1690381163,37129364,37396133,161897433,162314232,0
1690381164,36301031,36242588,198198464,198556820,0
1690381165,36041600,35718246,234240064,234275066,0
1690381166,36038994,36041656,270279058,270316722,0
1690381167,35779742,36003801,306058800,306320523,0
1690381168,35781108,35677590,341839908,341998113,0
1690381169,35782876,35677522,377622784,377675635,0
1690381170,36090868,36394944,413713652,414070579,0
1690381171,36034938,36005405,449748590,450075984,0
1690381172,36038330,36068014,485786920,486143998,0
1690381173,36039779,35718470,521826699,521862468,0
1690381174,36036016,36036124,557862715,557898592,0
1690381175,35779461,36000942,593642176,593899534,0
1690381176,35781253,35675738,629423429,629575272,0
1690381177,35782902,35676116,665206331,665251388,0
1690381178,36082757,36397783,701289088,701649171,0
1690381179,36039424,36038466,737328512,737687637,0
1690381180,36031763,36031197,773360275,773718834,0
1690381181,36036461,36033061,809396736,809751895,0
1690381182,36034048,36032150,845430784,845784045,0
1690381183,36034002,36032204,881464786,881816249,0
1690381184,36039835,36032098,917504621,917848347,0
1690381185,36040275,36056642,953544896,953904989,0
1690381186,36037504,35713236,989582400,989618225,0
1690381187,36041207,36041115,1025623607,1025659340,0
1690381188,34644253,34608408,1060267860,1060267748,0
1690381189,0,0,1060267860,1060267748,0
1690381190,0,0,1060267860,1060267748,0
1690381191,0,0,1060267860,1060267748,0
1690381192,0,0,1060267860,1060267748,0
1690381193,0,0,0,0,1
1690381194,9516184,9749757,9516184,9749757,1
1690381195,37129579,37025802,46645763,46775559,1
1690381196,37126190,37398282,83771953,84173841,1
1690381197,37422934,37396130,121194887,121569971,1
1690381198,37396009,37057820,158590896,158627791,1
1690381199,36381584,36380600,194972480,195008391,1
1690381200,35779456,35998018,230751936,231006409,1
1690381201,35781312,35671425,266533248,266677834,1
1690381202,35781184,36036462,302314432,302714296,1
1690381203,36079040,36039374,338393472,338753670,1
1690381204,36039943,35715754,374433415,374469424,1
1690381205,36039082,36039029,410472497,410508453,1
1690381206,35779491,36002988,446251988,446511441,1
1690381207,35781228,35670445,482033216,482181886,1
1690381208,35781248,36033026,517814464,518214912,1
1690381209,36078976,36038730,553893440,554253642,1
1690381210,36038016,36033098,589931456,590286740,1
1690381211,36039914,36032140,625971370,626318880,1
1690381212,36038486,36032358,662009856,662351238,1
1690381213,36039040,36057721,698048896,698408959,1
1690381214,36030912,36006293,734079808,734415252,1
1690381215,36038247,36062885,770118055,770478137,1
1690381216,36035352,36035405,806153407,806513542,1
1690381217,36036993,35712701,842190400,842226243,1
1690381218,36037888,36037952,878228288,878264195,1
1690381219,35779520,36003507,914007808,914267702,1
1690381220,35781248,35678410,949789056,949946112,1
1690381221,35781248,35678627,985570304,985624739,1
1690381222,36099328,36405108,1021669632,1022029847,1
1690381223,36041344,36029235,1057710976,1058059082,1
1690381224,2556884,2208778,1060267860,1060267860,1
1690381225,0,0,1060267860,1060267860,1
1690381226,0,0,1060267860,1060267860,1
1690381227,0,0,1060267860,1060267860,1
1690381228,0,0,1060267860,1060267860,1
1690381229,0,0,0,0,2
1690381230,6498901,6764298,6498901,6764298,2
1690381231,37127801,36901083,43626702,43665381,2
1690381232,37127903,37509670,80754605,81175051,2
1690381233,37129653,36747786,117884258,117922837,2
1690381234,37126212,37294116,155010470,155216953,2
1690381235,36255322,36141943,191265792,191358896,2
1690381236,36125843,36392595,227391635,227751491,2
1690381237,36037946,36029216,263429581,263780707,2
1690381238,36043315,36033839,299472896,299814546,2
1690381239,36036273,36054590,335509169,335869136,2
1690381240,36037711,35713375,371546880,371582511,2
1690381241,36032878,36032945,407579758,407615456,2
1690381242,35779410,35781228,443359168,443396684,2
1690381243,35781248,35898243,479140416,479294927,2
1690381244,35781312,36039814,514921728,515334741,2
1690381245,35781202,35404735,550702930,550739476,2
1690381246,35782958,35944670,586485888,586684146,2
1690381247,35779520,36038497,622265408,622722643,2
1690381248,35781442,35360492,658046850,658083135,2
1690381249,35782782,35999401,693829632,694082536,2
1690381250,35779584,35676105,729609216,729758641,2
1690381251,35781242,35680236,765390458,765438877,2
1690381252,36089862,36401510,801480320,801840387,2
1690381253,36038784,36016407,837519104,837856794,2
1690381254,36041536,36063845,873560640,873920639,2
1690381255,36038912,36038007,909599552,909958646,2
1690381256,36030809,36031209,945630361,945989855,2
1690381257,36032752,36032070,981663113,982021925,2
1690381258,36034807,36033107,1017697920,1018055032,2
1690381259,36039801,36032137,1053737721,1054087169,2
1690381260,6530139,6180551,1060267860,1060267720,2
1690381261,0,0,1060267860,1060267720,2
1690381262,0,0,1060267860,1060267720,2
1690381263,0,0,1060267860,1060267720,2
1690381264,0,0,1060267860,1060267720,2
1690381265,0,0,1060267860,1060267720,0
1690381266,0,0,1060267860,1060267720,0
1690381267,0,0,1060267860,1060267720,0
1690381268,0,0,1060267860,1060267720,0
1690381269,0,0,1060267860,1060267720,0
1690381270,0,0,1060267860,1060267720,0
1690381271,0,0,1060267860,1060267720,0
1690381272,0,0,1060267860,1060267720,0
1690381273,0,0,1060267860,1060267720,0
1690381274,0,0,1060267860,1060267720,0
1690381275,0,0,1060267860,1060267720,0
1690381276,0,0,1060267860,1060267720,0
1690381277,0,0,1060267860,1060267720,0
1690381278,0,0,1060267860,1060267720,0
1690381279,0,0,1060267860,1060267720,0
1690381280,0,0,1060267860,1060267720,0
1690381281,0,0,1060267860,1060267720,0
1690381282,0,0,1060267860,1060267720,0
1690381283,0,0,1060267860,1060267720,0
1690381284,0,0,1060267860,1060267720,0
1690381285,0,0,1060267860,1060267720,0
1690381286,0,0,1060267860,1060267720,0
1690381287,0,0,1060267860,1060267720,0
1690381288,0,0,1060267860,1060267720,0
1690381289,0,0,1060267860,1060267720,0
1690381290,0,0,1060267860,1060267720,0
1690381291,0,0,1060267860,1060267720,0
1690381292,0,0,1060267860,1060267720,0
1690381293,0,0,1060267860,1060267720,0
1690381294,0,0,1060267860,1060267720,0
size: 128B, rate: 95%, link: 25000 Mbps, mpps: 20059122, dur: 30 sec, total: 601773660, LossLimit: 6018 (0.001%)
TS(sec),TX(pps),RX(pps),totalTX(p),totalRX(p),Trial
1690381295,0,0,0,0,0
1690381296,280782,440058,280782,440058,0
1690381297,21071507,21011349,21352289,21451407,0
1690381298,21072575,21012450,42424864,42463857,0
1690381299,21260876,21244892,63685740,63708749,0
1690381300,20681364,20680277,84367104,84389026,0
1690381301,20088512,20211600,104455616,104600626,0
1690381302,20176832,20234014,124632448,124834640,0
1690381303,20229632,20229648,144862080,145064288,0
1690381304,20233792,20051768,165095872,165116056,0
1690381305,20233792,20233728,185329664,185349784,0
1690381306,20086720,20211813,205416384,205561597,0
1690381307,20087808,20026014,225504192,225587611,0
1690381308,20087616,20027361,245591808,245614972,0
1690381309,20254720,20433782,265846528,266048754,0
1690381310,20233028,20232928,286079556,286281682,0
1690381311,20231932,20049924,306311488,306331606,0
1690381312,20232031,20232092,326543519,326563698,0
1690381313,20086815,20209558,346630334,346773256,0
1690381314,20087682,20030584,366718016,366803840,0
1690381315,20087744,20027526,386805760,386831366,0
1690381316,20258560,20435186,407064320,407266552,0
1690381317,20231849,20231703,427296169,427498255,0
1690381318,20231767,20049803,447527936,447548058,0
1690381319,20234304,20234342,467762240,467782400,0
1690381320,20086731,20212751,487848971,487995151,0
1690381321,20087746,20028619,507936717,508023770,0
1690381322,20088629,20028134,528025346,528051904,0
1690381323,20258600,20433271,548283946,548485175,0
1690381324,20231868,20219323,568515814,568704498,0
1690381325,20231770,20245277,588747584,588949775,0
1690381326,13026076,12823885,601773660,601773660,0
1690381327,0,0,601773660,601773660,0
1690381328,0,0,601773660,601773660,0
1690381329,0,0,601773660,601773660,0
1690381330,0,0,601773660,601773660,0
1690381331,0,0,0,0,1
1690381332,0,0,0,0,1
1690381333,18798777,18820579,18798777,18820579,1
1690381334,21071634,21307124,39870411,40127703,1
1690381335,21268235,21223821,61138646,61351524,1
1690381336,20803370,20792636,81942016,82144160,1
1690381337,20230829,20048825,102172845,102192985,1
1690381338,20231508,20230861,122404353,122423846,1
1690381339,20086783,20211766,142491136,142635612,1
1690381340,20087680,20030533,162578816,162666145,1
1690381341,20088645,20030656,182667461,182696801,1
1690381342,20262395,20435226,202929856,203132027,1
1690381343,20231808,20215833,223161664,223347860,1
1690381344,20232960,20248137,243394624,243595997,1
1690381345,20233536,20229099,263628160,263825096,1
1690381346,20232832,20228589,283860992,284053685,1
1690381347,20230720,20240202,304091712,304293887,1
1690381348,20232896,20050909,324324608,324344796,1
1690381349,20228480,20227752,344553088,344572548,1
1690381350,20086759,20212406,364639847,364784954,1
1690381351,20087710,20026951,384727557,384811905,1
1690381352,20088699,20030218,404816256,404842123,1
1690381353,20255744,20432109,425072000,425274232,1
1690381355,20262656,20080633,445334656,445354865,1
1690381356,20230592,20230671,465565248,465585536,1
1690381357,40174528,40188934,505739776,505774470,1
1690381358,0,0,505739776,505774470,1
1690381359,40175488,40161855,545915264,545936325,1
1690381360,20088576,20176153,566003840,566112478,1
1690381361,20086849,20027794,586090689,586140272,1
1690381362,15682971,15633388,601773660,601773660,1
1690381363,0,0,601773660,601773660,1
1690381364,0,0,601773660,601773660,1
1690381365,0,0,601773660,601773660,1
1690381366,0,0,601773660,601773660,1
1690381367,0,0,0,0,2
1690381368,16998048,17019090,16998048,17019090,2
1690381369,21071512,21197947,38069560,38217037,2
1690381370,21072602,20948149,59142162,59165186,2
1690381371,20748078,20953610,79890240,80118796,2
1690381372,20087716,19880302,99977956,99999098,2
1690381373,20088604,20178676,120066560,120177774,2
1690381374,20086849,20031186,140153409,140208960,2
1690381375,20287551,20434142,160440960,160643102,2
1690381376,20232704,20224627,180673664,180867729,2
1690381377,20229759,20228547,200903423,201096276,2
1690381378,20230413,20228557,221133836,221324833,2
1690381379,20231796,20243039,241365632,241567872,2
1690381380,20232576,20214207,261598208,261782079,2
1690381381,20234097,20252394,281832305,282034473,2
1690381382,20232883,20050889,302065188,302085362,2
1690381383,20229605,20229604,322294793,322314966,2
1690381384,20086775,20210364,342381568,342525330,2
1690381385,20087744,20027416,362469312,362552746,2
1690381386,20088576,20230600,382557888,382783346,2
1690381387,20255889,20231762,402813777,403015108,2
1690381388,20229359,20212010,423043136,423227118,2
1690381389,20231296,20249043,443274432,443476161,2
1690381390,20232384,20050896,463506816,463527057,2
1690381391,20227968,20227938,483734784,483754995,2
1690381392,20086851,20211019,503821635,503966014,2
1690381393,20087677,20026787,523909312,523992801,2
1690381394,20088640,20031082,543997952,544023883,2
1690381395,20260095,20435454,564258047,564459337,2
1690381396,20228289,20228319,584486336,584687656,2
1690381397,17287324,17086004,601773660,601773660,2
1690381398,0,0,601773660,601773660,2
1690381399,0,0,601773660,601773660,2
1690381400,0,0,601773660,601773660,2
1690381401,0,0,601773660,601773660,2
1690381402,0,0,601773660,601773660,2
1690381403,0,0,601773660,601773660,0
1690381404,0,0,601773660,601773660,0
1690381405,0,0,601773660,601773660,0
1690381406,0,0,601773660,601773660,0
1690381407,0,0,601773660,601773660,0
1690381408,0,0,601773660,601773660,0
1690381409,0,0,601773660,601773660,0
1690381410,0,0,601773660,601773660,0
1690381411,0,0,601773660,601773660,0
1690381412,0,0,601773660,601773660,0
1690381413,0,0,601773660,601773660,0
1690381414,0,0,601773660,601773660,0
1690381415,0,0,601773660,601773660,0
1690381416,0,0,601773660,601773660,0
1690381417,0,0,601773660,601773660,0
1690381418,0,0,601773660,601773660,0
1690381419,0,0,601773660,601773660,0
1690381420,0,0,601773660,601773660,0
1690381421,0,0,601773660,601773660,0
1690381422,0,0,601773660,601773660,0
1690381423,0,0,601773660,601773660,0
1690381424,0,0,601773660,601773660,0
1690381425,0,0,601773660,601773660,0
1690381426,0,0,601773660,601773660,0
1690381427,0,0,601773660,601773660,0
1690381428,0,0,601773660,601773660,0
1690381429,0,0,601773660,601773660,0
1690381430,0,0,601773660,601773660,0
1690381431,0,0,601773660,601773660,0
1690381432,0,0,601773660,601773660,0
size: 256B, rate: 95%, link: 25000 Mbps, mpps: 10756341, dur: 30 sec, total: 322690230, LossLimit: 3227 (0.001%)
TS(sec),TX(pps),RX(pps),totalTX(p),totalRX(p),Trial
1690381433,0,0,0,0,0
1690381434,6487664,6606219,6487664,6606219,0
1690381435,11299771,11266981,17787435,17873200,0
1690381436,11299773,11225703,29087208,29098903,0
1690381437,11300301,11433987,40387509,40532890,0
1690381438,10973579,10936937,51361088,51469827,0
1690381439,10879616,10878128,62240704,62347955,0
1690381440,10879552,10877616,73120256,73225571,0
1690381441,10878592,10877638,83998848,84103209,0
1690381442,10880000,10884360,94878848,94987569,0
1690381443,10879895,10870927,105758743,105858496,0
1690381444,10877784,10886757,116636527,116745253,0
1690381445,10879185,10878993,127515712,127624246,0
1690381446,10879768,10782071,138395480,138406317,0
1690381447,10878376,10878420,149273856,149284737,0
1690381448,10801472,10869361,160075328,160154098,0
1690381449,10801856,10770817,170877184,170924915,0
1690381450,10802368,10770386,181679552,181695301,0
1690381451,10895404,10987885,192574956,192683186,0
1690381452,10879444,10782052,203454400,203465238,0
1690381453,10877610,10878120,214332010,214343358,0
1690381454,10801426,10869081,225133436,225212439,0
1690381455,10801860,10769515,235935296,235981954,0
1690381456,10802432,10769328,246737728,246751282,0
1690381457,10892992,10987652,257630720,257738934,0
1690381458,10879673,10782717,268510393,268521651,0
1690381459,10879111,10879202,279389504,279400853,0
1690381460,10801408,10866836,290190912,290267689,0
1690381461,10801856,10770249,300992768,301037938,0
1690381462,10801920,10770552,311794688,311808490,0
1690381463,10893312,10881740,322688000,322690230,0
1690381464,2230,0,322690230,322690230,0
1690381465,0,0,322690230,322690230,0
1690381466,0,0,322690230,322690230,0
1690381467,0,0,322690230,322690230,0
1690381468,0,0,322690230,322690230,0
1690381469,0,0,0,0,1
1690381470,5585680,5597011,5585680,5597011,1
1690381471,11299267,11369828,16884947,16966839,1
1690381472,11299838,11230211,28184785,28197050,1
1690381473,11299711,11416253,39484496,39613303,1
1690381474,10904816,10786914,50389312,50400217,1
1690381475,10801439,10850567,61190751,61250784,1
1690381476,10801889,10770488,71992640,72021272,1
1690381477,10907712,10987785,82900352,83009057,1
1690381478,10878720,10871872,93779072,93880929,1
1690381479,10878912,10885763,104657984,104766692,1
1690381480,10878848,10780977,115536832,115547669,1
1690381481,10879375,10879405,126416207,126427074,1
1690381482,10801393,10868403,137217600,137295477,1
1690381483,10801920,10770654,148019520,148066131,1
1690381484,10801856,10770541,158821376,158836672,1
1690381485,10894464,10987868,169715840,169824540,1
1690381486,10879552,10871791,180595392,180696331,1
